userID,trialNo,filename,GroundTruth_Target,rater1,rater1_unsure,rater2,rater2_unsure,rater3,rater3_unsure,correct_target_judgement_by_all
00032619,1,00032619_trial1.png,5,5,,5,,5,,1
00032619,2,00032619_trial2.png,7,7,,7,,7,,1
00032619,3,00032619_trial3.png,3,3,,3,,3,,1
00040057,1,00040057_trial1.png,6,6,,6,,6,,1
00040057,2,00040057_trial2.png,2,2,,2,,2,,1
00040057,3,00040057_trial3.png,6,6,,6,,6,,1
00065423,1,00065423_trial1.png,2,2,,2,,2,,1
00065423,2,00065423_trial2.png,8,1,,1,,1,,0
00065423,3,00065423_trial3.png,8,8,,8,,8,,1
00121933,1,00121933_trial1.png,6,6,,6,,6,,1
00121933,2,00121933_trial2.png,7,7,,7,,7,,1
00121933,3,00121933_trial3.png,0,0,,0,,0,,1
00176912,1,00176912_trial1.png,8,8,,8,,8,,1
00215359,1,00215359_trial1.png,0,1,,1,,1,,0
00215359,2,00215359_trial2.png,7,7,,7,,7,,1
00215359,3,00215359_trial3.png,1,1,,1,,1,,1
00238698,1,00238698_trial1.png,5,5,,5,,5,,1
00238698,2,00238698_trial2.png,4,4,,4,,4,,1
00238698,3,00238698_trial3.png,9,9,,9,,9,,1
00255015,1,00255015_trial1.png,3,3,,3,,3,,1
00255015,2,00255015_trial2.png,5,5,,5,,5,,1
00255015,3,00255015_trial3.png,7,7,,7,,7,,1
00307393,1,00307393_trial1.png,1,1,,2,,1,,0
00307393,2,00307393_trial2.png,7,7,,7,,7,,1
00307393,3,00307393_trial3.png,5,5,,5,,5,,1
00349986,1,00349986_trial1.png,3,3,,3,,3,,1
00349986,2,00349986_trial2.png,1,1,,1,,1,,1
00349986,3,00349986_trial3.png,5,5,,x,,5,,0
00415292,1,00415292_trial1.png,2,2,,2,,2,,1
00415292,2,00415292_trial2.png,4,4,,4,,4,,1
00415292,3,00415292_trial3.png,0,0,,0,,0,,1
00424031,1,00424031_trial1.png,9,9,,9,,9,,1
00424031,2,00424031_trial2.png,5,9,,9,,9,,0
00424031,3,00424031_trial3.png,8,8,,8,,8,,1
00439906,1,00439906_trial1.png,0,0,,0,,0,,1
00439906,2,00439906_trial2.png,7,7,,7,,7,,1
00439906,3,00439906_trial3.png,9,9,,9,,9,,1
00481409,1,00481409_trial1.png,4,4,,4,,4,,1
00481409,2,00481409_trial2.png,8,8,,8,,8,,1
00481409,3,00481409_trial3.png,6,6,,6,,6,,1
00539500,1,00539500_trial1.png,9,6,,6,,6,,0
00539500,2,00539500_trial2.png,5,0,,0,,0,,0
00539500,3,00539500_trial3.png,5,5,,5,,5,,1
00554597,1,00554597_trial1.png,0,0,,0,,0,,1
00554597,2,00554597_trial2.png,8,8,,8,,8,,1
00554597,3,00554597_trial3.png,1,1,,1,,1,,1
00655681,1,00655681_trial1.png,4,0,x,8,,4,x,0
00655681,2,00655681_trial2.png,6,6,,6,,6,,1
00655681,3,00655681_trial3.png,6,x,,6,,6,,0
00732051,1,00732051_trial1.png,5,5,,5,,5,,1
00732051,2,00732051_trial2.png,9,9,,9,,9,,1
00732051,3,00732051_trial3.png,7,7,,7,,7,,1
00766021,1,00766021_trial1.png,8,8,,8,,8,,1
00766021,2,00766021_trial2.png,1,1,,1,,1,,1
00766021,3,00766021_trial3.png,7,7,,7,,7,,1
00922757,1,00922757_trial1.png,8,8,,0,,8,x,0
00922757,2,00922757_trial2.png,9,9,,9,,9,,1
00922757,3,00922757_trial3.png,0,0,,0,,0,,1
00967351,1,00967351_trial1.png,6,6,,6,,6,,1
00967351,2,00967351_trial2.png,7,7,x,7,,7,,1
00967351,3,00967351_trial3.png,1,1,,1,,1,,1
00991333,1,00991333_trial1.png,8,8,,8,,8,,1
00991333,2,00991333_trial2.png,7,7,x,7,,7,,1
00991333,3,00991333_trial3.png,3,3,,3,,3,,1
01000195,1,01000195_trial1.png,1,1,,1,,1,,1
01000195,2,01000195_trial2.png,6,6,,6,,6,,1
01000195,3,01000195_trial3.png,3,3,,3,,3,,1
01010694,1,01010694_trial1.png,4,x,,4,x,4,,0
01010694,2,01010694_trial2.png,8,8,,8,,8,,1
01010694,3,01010694_trial3.png,4,4,,4,,4,,1
01034408,1,01034408_trial1.png,4,4,x,4,,4,,1
01034408,2,01034408_trial2.png,5,x,,5,,5,,0
01034408,3,01034408_trial3.png,0,0,,0,,0,,1
01094556,1,01094556_trial1.png,0,0,,0,,0,,1
01094556,2,01094556_trial2.png,2,2,,2,,2,,1
01094556,3,01094556_trial3.png,4,4,,4,,4,,1
01244135,1,01244135_trial1.png,4,4,,4,,4,,1
01244135,2,01244135_trial2.png,8,8,,x,,8,,0
01244135,3,01244135_trial3.png,4,4,,4,,4,,1
01326061,1,01326061_trial1.png,5,5,,5,,5,,1
01326061,2,01326061_trial2.png,1,1,,1,,1,,1
01326061,3,01326061_trial3.png,4,4,,4,,4,,1
01405861,1,01405861_trial1.png,8,8,x,x,x,8,x,0
01405861,2,01405861_trial2.png,8,x,,x,,8,,0
01405861,3,01405861_trial3.png,8,x,,8,x,8,x,0
01429850,1,01429850_trial1.png,5,5,,5,,5,,1
01429850,2,01429850_trial2.png,7,7,,7,,7,,1
01429850,3,01429850_trial3.png,0,0,,0,,0,,1
01453526,1,01453526_trial1.png,3,3,,3,,3,,1
01453526,2,01453526_trial2.png,4,4,,x,,4,,0
01453526,3,01453526_trial3.png,7,7,,7,,7,,1
01482139,1,01482139_trial1.png,9,9,,9,,9,,1
01482139,2,01482139_trial2.png,1,1,x,1,,1,,1
01482139,3,01482139_trial3.png,0,0,,0,,0,,1
01489125,1,01489125_trial1.png,2,3,,3,,3,,0
01489125,2,01489125_trial2.png,1,1,,1,,1,,1
01551376,1,01551376_trial1.png,5,5,,5,,5,,1
01551376,2,01551376_trial2.png,8,8,,8,,8,,1
01551376,3,01551376_trial3.png,0,0,,0,,0,,1
01581873,1,01581873_trial1.png,9,9,,9,,9,,1
01596389,1,01596389_trial1.png,5,5,,5,,5,,1
01596389,2,01596389_trial2.png,5,5,,5,,5,,1
01596389,3,01596389_trial3.png,2,2,,2,,2,,1
01612986,1,01612986_trial1.png,6,6,,6,,6,,1
01612986,2,01612986_trial2.png,1,1,,1,,1,,1
01686541,1,01686541_trial1.png,5,5,,5,,5,,1
01686541,2,01686541_trial2.png,5,5,,5,,5,,1
01686541,3,01686541_trial3.png,9,9,,9,,9,,1
01699419,1,01699419_trial1.png,4,4,x,0,,0,x,0
01699419,2,01699419_trial2.png,7,7,,7,,7,,1
01699419,3,01699419_trial3.png,1,1,,1,,1,,1
01708882,1,01708882_trial1.png,4,4,,x,,4,,0
01708882,2,01708882_trial2.png,4,x,,4,,4,x,0
01708882,3,01708882_trial3.png,0,0,,0,,x,,0
01711664,1,01711664_trial1.png,6,6,,x,,6,x,0
01711664,2,01711664_trial2.png,4,4,,4,,4,,1
01711664,3,01711664_trial3.png,7,7,,7,,7,,1
01747148,1,01747148_trial1.png,6,6,,6,,6,,1
01747148,2,01747148_trial2.png,5,5,,5,,5,,1
01794406,1,01794406_trial1.png,2,2,,2,,2,,1
01794406,2,01794406_trial2.png,9,9,,9,,9,,1
01794406,3,01794406_trial3.png,2,2,,2,,2,,1
01931992,1,01931992_trial1.png,8,8,,8,,8,,1
01931992,2,01931992_trial2.png,9,9,,9,,9,,1
01931992,3,01931992_trial3.png,2,2,,2,,2,,1
02013204,1,02013204_trial1.png,2,2,,2,,2,,1
02013204,2,02013204_trial2.png,3,3,,3,,3,,1
02013204,3,02013204_trial3.png,1,1,,1,,1,,1
02047009,1,02047009_trial1.png,1,1,,1,,1,,1
02047009,2,02047009_trial2.png,5,5,,5,,5,,1
02047009,3,02047009_trial3.png,7,7,,7,,7,,1
02087440,1,02087440_trial1.png,7,7,,7,,7,,1
02087440,2,02087440_trial2.png,4,4,,x,x,4,x,0
02087440,3,02087440_trial3.png,5,5,,x,,5,,0
02121106,1,02121106_trial1.png,0,0,,0,,0,,1
02121106,2,02121106_trial2.png,9,9,x,9,,9,,1
02121106,3,02121106_trial3.png,7,7,,7,,7,,1
02135926,1,02135926_trial1.png,7,7,x,7,,7,,1
02135926,2,02135926_trial2.png,0,0,,0,,0,,1
02135926,3,02135926_trial3.png,2,2,,2,,2,,1
02153754,1,02153754_trial1.png,1,1,,1,,1,,1
02153754,2,02153754_trial2.png,5,5,,5,,5,,1
02153754,3,02153754_trial3.png,7,7,,x,,7,x,0
02231859,1,02231859_trial1.png,7,7,,7,,7,,1
02231859,2,02231859_trial2.png,5,5,,5,,5,,1
02231859,3,02231859_trial3.png,4,4,x,4,,4,,1
02358078,1,02358078_trial1.png,2,2,,2,,2,,1
02358078,2,02358078_trial2.png,5,x,,5,x,5,x,0
