userID,itemNo,responseNo,checked,responseText,responseTime
00032619,2,1,0,,5929
00032619,2,2,0,,5929
00032619,2,3,0,,5929
00032619,2,4,0,,5929
00032619,2,5,1,,5929
00032619,3,1,1,,3313
00032619,3,2,0,,3313
00032619,3,3,0,,3313
00032619,3,4,0,,3313
00032619,3,5,0,,3313
00032619,4,1,0,,4031
00032619,4,2,0,,4031
00032619,4,3,0,,4031
00032619,4,4,0,,4031
00032619,4,5,1,,4031
00032619,5,1,1,,3084
00032619,5,2,0,,3084
00032619,5,3,0,,3084
00032619,5,4,0,,3084
00032619,5,5,0,,3084
00032619,6,1,0,,4046
00032619,6,2,1,,4046
00032619,7,-1,-1,I tried to use the brush as little as possible and work with what was there to rely on the eraser to provide the basic shape of the figure,41680
00032619,8,1,1,,5653
00032619,8,2,0,,5653
00032619,9,-1,-1,I thought about what actions before I even selected the brush or eraser. It wasn't perfect but it was clear. ,191393
00032619,10,-1,-1,,24655
00040057,2,1,0,,11886
00040057,2,2,0,,11886
00040057,2,3,0,,11886
00040057,2,4,0,,11886
00040057,2,5,1,,11886
00040057,3,1,0,,19784
00040057,3,2,0,,19784
00040057,3,3,0,,19784
00040057,3,4,1,,19784
00040057,3,5,0,,19784
00040057,4,1,0,,8275
00040057,4,2,0,,8275
00040057,4,3,0,,8275
00040057,4,4,0,,8275
00040057,4,5,1,,8275
00040057,5,1,1,,9990
00040057,5,2,0,,9990
00040057,5,3,0,,9990
00040057,5,4,0,,9990
00040057,5,5,0,,9990
00040057,6,1,0,,20990
00040057,6,2,1,,20990
00040057,7,-1,-1,,8487
00040057,8,1,0,,13804
00040057,8,2,1,,13804
00040057,9,-1,-1,,4600
00040057,10,-1,-1,,7380
00065423,2,1,0,,3834
00065423,2,2,0,,3834
00065423,2,3,0,,3834
00065423,2,4,0,,3834
00065423,2,5,1,,3834
00065423,3,1,0,,2689
00065423,3,2,1,,2689
00065423,3,3,0,,2689
00065423,3,4,0,,2689
00065423,3,5,0,,2689
00065423,4,1,0,,2019
00065423,4,2,0,,2019
00065423,4,3,0,,2019
00065423,4,4,1,,2019
00065423,4,5,0,,2019
00065423,5,1,1,,2263
00065423,5,2,0,,2263
00065423,5,3,0,,2263
00065423,5,4,0,,2263
00065423,5,5,0,,2263
00065423,6,1,0,,2475
00065423,6,2,1,,2475
00065423,7,-1,-1,,1194
00065423,8,1,0,,3891
00065423,8,2,1,,3891
00065423,9,-1,-1,,1275
00065423,10,-1,-1,,874
00121933,2,1,0,,5066
00121933,2,2,0,,5066
00121933,2,3,0,,5066
00121933,2,4,0,,5066
00121933,2,5,1,,5066
00121933,3,1,0,,3935
00121933,3,2,0,,3935
00121933,3,3,0,,3935
00121933,3,4,0,,3935
00121933,3,5,1,,3935
00121933,4,1,0,,3649
00121933,4,2,0,,3649
