Wave,userID,comprehensionCheck1_Q1,comprehensionCheck1_Q2,comprehensionCheck1_Q3,comprehensionCheck1_Q4,comprehensionCheck1_passed,comprehensionCheck1_Q1_repeat,comprehensionCheck1_Q2_repeat,comprehensionCheck1_Q3_repeat,comprehensionCheck1_Q4_repeat,comprehensionCheck2_passed,trial1_baseDigit,trial1_targetDigit,trial1_percChange,trial2_baseDigit,trial2_targetDigit,trial2_percChange,trial3_baseDigit,trial3_targetDigit,trial3_percChange
Wave8,00032619,B,C,A,D,,,,,,,3,5,0.03540178571428571,8,7,0.09470663265306123,2,3,0.06990114795918367
Wave6,00040057,B,C,A,D,,,,,,,9,6,0.06313775510204081,3,2,0.11237244897959184,7,6,0.11741071428571428
Wave7,00065423,B,C,A,D,,,,,,,4,2,0.07264030612244898,1,8,0.0,5,8,0.053762755102040816
Wave8,00121933,B,C,A,D,,,,,,,8,6,0.1375,1,7,0.04292091836734694,2,0,0.07461734693877552
Wave1,00141053,B,C,A,D,,,,,,,0,2,0.0,2,1,0.0,5,9,0.0
Wave1,00176912,B,C,A,D,,,,,,,1,8,0.07646683673469387,6,5,,7,9,
Wave8,00215359,B,C,A,D,,,,,,,1,0,0.04764030612244898,4,7,0.06339285714285714,2,1,0.09719387755102041
Wave4,00238698,B,C,A,D,,,,,,,9,5,0.08214285714285714,7,4,0.05082908163265306,5,9,0.049043367346938774
Wave6,00255015,B,C,A,D,,,,,,,7,3,0.06308035714285715,4,5,0.14067920918367346,6,7,0.09317602040816327
Wave12,00307393,B,C,A,D,,,,,,,6,1,0.07493622448979592,8,7,0.07372448979591836,8,5,0.11639030612244898
Wave7,00349986,B,C,A,D,,,,,,,7,3,0.11084183673469387,0,1,0.21403061224489797,2,5,0.19432397959183673
Wave7,00415292,B,C,A,D,,,,,,,8,2,0.059566326530612244,1,4,0.020790816326530612,7,0,0.15427295918367348
Wave2,00424031,B,C,A,D,,,,,,,0,9,0.07474489795918367,4,5,0.036734693877551024,5,8,0.047895408163265304
Wave6,00439906,B,C,A,D,,,,,,,4,0,0.10758928571428572,0,7,0.2031887755102041,1,9,0.058864795918367345
Wave9,00481409,B,C,A,D,,,,,,,8,4,0.08985969387755102,0,8,0.09942602040816327,4,6,0.08010204081632653
Wave13,00539500,B,C,A,D,,,,,,,6,9,0.0,0,5,0.0,2,5,0.08628826530612245
Wave4,00554597,B,C,A,D,,,,,,,4,0,0.1110969387755102,1,8,0.13048469387755102,2,1,0.09776785714285714
Wave1,00655681,B,C,A,D,,,,,,,8,4,0.10235331632653061,7,6,0.0781281887755102,9,6,0.10420918367346939
Wave6,00732051,B,C,A,D,,,,,,,7,5,0.10300063775510204,7,9,0.09840880102040817,3,7,0.1010140306122449
Wave4,00766021,B,C,A,D,,,,,,,5,8,0.0555484693877551,5,1,0.08086734693877551,5,7,0.11441326530612245
Wave12,00922757,B,C,A,D,,,,,,,0,8,0.13463010204081632,0,9,0.06779336734693878,2,0,0.15165816326530612
Wave2,00967351,B,C,A,D,,,,,,,9,6,0.10172193877551021,0,7,0.1853954081632653,3,1,0.13316326530612244
Wave7,00991333,B,C,A,D,,,,,,,3,8,0.027232142857142858,2,7,0.03450255102040816,5,3,0.022448979591836733
Wave3,01000195,B,C,A,D,,,,,,,7,1,0.12149234693877552,2,6,0.103125,4,3,0.10758928571428572
Wave7,01010694,B,C,A,D,,,,,,,5,4,0.06205357142857143,4,8,0.08558673469387755,6,4,0.12372448979591837
Wave6,01034408,B,C,A,D,,,,,,,6,4,0.14912308673469388,2,5,0.15886160714285713,8,0,0.051403061224489795
Wave8,01094556,B,C,A,D,,,,,,,9,0,0.0927295918367347,6,2,0.08737244897959184,5,4,0.11441326530612245
Wave1,01244135,B,C,A,D,,,,,,,2,4,0.11255420918367347,9,8,0.13569515306122448,1,4,0.05527742346938776
Wave10,01326061,B,C,A,D,,,,,,,2,5,0.1239158163265306,5,1,0.06173469387755102,1,4,0.033035714285714286
Wave6,01405861,B,C,A,D,,,,,,,0,8,0.11230867346938775,4,8,0.08934948979591836,5,8,0.08246173469387755
Wave2,01429850,B,C,A,D,,,,,,,6,5,0.10025510204081632,4,7,0.033864795918367344,5,0,0.09891581632653061
Wave13,01453526,B,C,D,D,False,B,C,A,D,,9,3,0.05440051020408163,3,4,0.12008928571428572,3,7,0.12091836734693878
Pilot3,01482139,B,C,A,D,,,,,,,0,9,0.06454081632653061,3,1,0.1271683673469388,4,0,0.09693877551020408
Wave1,01489125,B,C,A,D,,,,,,,3,2,0.050956632653061225,9,1,0.08896683673469388,3,8,
Wave8,01551376,B,C,A,D,,,,,,,0,5,0.13323022959183672,9,8,0.07682716836734693,9,0,0.054276147959183674
Wave8,01581873,C,C,A,D,False,B,C,A,D,,3,9,0.027104591836734693,9,6,,8,3,
Wave8,01596389,B,C,A,D,,,,,,,7,5,0.1072704081632653,1,5,0.1082908163265306,7,2,0.12206632653061225
Wave8,01612986,B,B,A,D,False,B,C,A,D,,9,6,0.11231505102040816,3,1,0.1124234693877551,8,4,
Wave1,01686541,B,C,A,D,,,,,,,4,5,0.16760204081632654,9,5,0.15012755102040817,6,9,0.16371173469387756
Wave8,01699419,B,C,A,D,,,,,,,5,4,0.05758928571428571,1,7,0.03150510204081633,6,1,0.11996173469387755
Wave13,01708882,A,C,A,D,False,B,C,A,D,,7,4,0.12244579081632653,2,4,0.1427295918367347,6,0,0.13615433673469388
Wave4,01711664,B,C,A,D,,,,,,,5,6,0.08373724489795918,9,4,0.09566326530612244,6,7,0.12238520408163266
Wave1,01747148,C,C,A,D,False,B,C,A,D,,5,6,0.02040816326530612,4,5,0.06203762755102041,5,4,
